,id,sensorId,timestamp,chiuveta,chiuveta_,toaleta,toaleta_,dus,dus_
0,1290619,33383,2021-10-10 11:00:42,0,0,0,0,0,0
1,1290663,33383,2021-10-10 11:01:42,0,0,0,0,0,0
2,1290707,33383,2021-10-10 11:02:42,0,0,0,0,0,0
3,1290751,33383,2021-10-10 11:03:42,0,0,0,0,0,0
4,1290795,33383,2021-10-10 11:04:42,0,0,0,0,0,0
5,1290839,33383,2021-10-10 11:05:42,0,0,0,0,0,0
6,1290883,33383,2021-10-10 11:06:42,0,0,0,0,0,0
7,1290927,33383,2021-10-10 11:07:42,0,0,0,0,0,0
8,1290971,33383,2021-10-10 11:08:42,0,0,0,0,0,0
9,1291015,33383,2021-10-10 11:09:42,0,0,0,0,0,0
10,1291059,33383,2021-10-10 11:10:42,0,0,0,0,0,0
11,1291103,33383,2021-10-10 11:11:42,0,0,0,0,0,0
12,1291147,33383,2021-10-10 11:12:42,0,0,0,0,0,0
13,1291191,33383,2021-10-10 11:13:42,0,0,0,0,0,0
14,1291235,33383,2021-10-10 11:14:42,0,0,0,0,0,0
15,1291279,33383,2021-10-10 11:15:42,0,0,0,0,0,0
16,1291323,33383,2021-10-10 11:16:42,0,0,0,0,0,0
17,1291367,33383,2021-10-10 11:17:42,0,0,0,0,0,0
18,1291411,33383,2021-10-10 11:18:42,0,0,0,0,0,0
19,1291455,33383,2021-10-10 11:19:42,0,0,0,0,0,0
20,1291499,33383,2021-10-10 11:20:42,0,0,0,0,0,0
21,1291543,33383,2021-10-10 11:21:42,0,0,0,0,0,0
22,1291587,33383,2021-10-10 11:22:42,0,0,0,0,0,0
23,1291631,33383,2021-10-10 11:23:42,0,0,0,0,0,0
24,1291675,33383,2021-10-10 11:24:42,0,0,0,0,0,0
25,1291719,33383,2021-10-10 11:25:42,1220,1220,0,0,0,0
26,1291763,33383,2021-10-10 11:26:42,0,0,0,0,0,0
27,1291807,33383,2021-10-10 11:27:42,0,0,0,0,0,0
28,1291851,33383,2021-10-10 11:28:42,0,0,0,0,0,0
29,1291895,33383,2021-10-10 11:29:42,44,44,0,0,0,0
30,1291939,33383,2021-10-10 11:30:42,0,0,0,0,0,0
31,1291983,33383,2021-10-10 11:31:42,0,0,0,0,0,0
32,1292027,33383,2021-10-10 11:32:42,0,0,0,0,0,0
33,1292071,33383,2021-10-10 11:33:42,0,0,0,0,0,0
34,1292115,33383,2021-10-10 11:34:42,0,0,0,0,0,0
35,1292159,33383,2021-10-10 11:35:42,0,0,0,0,0,0
36,1292203,33383,2021-10-10 11:36:42,0,0,0,0,0,0
37,1292247,33383,2021-10-10 11:37:42,0,0,0,0,0,0
38,1292291,33383,2021-10-10 11:38:42,0,0,0,0,0,0
39,1292335,33383,2021-10-10 11:39:42,0,0,0,0,0,0
40,1292379,33383,2021-10-10 11:40:42,0,0,0,0,0,0
41,1292423,33383,2021-10-10 11:41:42,0,0,0,0,0,0
42,1292467,33383,2021-10-10 11:42:42,0,0,0,0,0,0
43,1292511,33383,2021-10-10 11:43:42,0,0,0,0,0,0
44,1292555,33383,2021-10-10 11:44:42,0,0,0,0,0,0
45,1292599,33383,2021-10-10 11:45:42,0,0,0,0,0,0
46,1292643,33383,2021-10-10 11:46:42,0,0,0,0,0,0
47,1292687,33383,2021-10-10 11:47:42,0,0,0,0,0,0
48,1292731,33383,2021-10-10 11:48:42,0,0,0,0,0,0
49,1292775,33383,2021-10-10 11:49:42,0,0,0,0,0,0
50,1292819,33383,2021-10-10 11:50:42,0,0,0,0,0,0
51,1292863,33383,2021-10-10 11:51:42,0,0,0,0,0,0
52,1292907,33383,2021-10-10 11:52:42,0,0,0,0,0,0
53,1292951,33383,2021-10-10 11:53:42,0,0,0,0,0,0
54,1292995,33383,2021-10-10 11:54:42,0,0,0,0,0,0
55,1293039,33383,2021-10-10 11:55:42,0,0,0,0,0,0
56,1293123,33383,2021-10-10 11:58:00,0,0,0,0,0,0
57,1293167,33383,2021-10-10 11:58:59,0,0,0,0,0,0
58,1293211,33383,2021-10-10 12:00:00,0,0,0,0,0,0
59,1293255,33383,2021-10-10 12:01:00,0,0,0,0,0,0
60,1293299,33383,2021-10-10 12:02:00,0,0,0,0,0,0
61,1293343,33383,2021-10-10 12:03:00,0,0,0,0,0,0
62,1293387,33383,2021-10-10 12:04:00,0,0,0,0,0,0
63,1293431,33383,2021-10-10 12:05:00,0,0,0,0,0,0
64,1293475,33383,2021-10-10 12:06:00,0,0,0,0,0,0
65,1293519,33383,2021-10-10 12:07:00,0,0,0,0,0,0
66,1293563,33383,2021-10-10 12:08:00,0,0,0,0,0,0
67,1293607,33383,2021-10-10 12:09:00,0,0,0,0,0,0
68,1293651,33383,2021-10-10 12:10:00,0,0,0,0,0,0
69,1293695,33383,2021-10-10 12:11:00,0,0,0,0,0,0
70,1293739,33383,2021-10-10 12:12:00,0,0,6440,386,0,0
71,1293783,33383,2021-10-10 12:13:00,0,0,2,0,0,0
72,1293827,33383,2021-10-10 12:14:00,0,0,0,0,0,0
73,1293871,33383,2021-10-10 12:15:00,0,0,0,0,0,0
74,1293915,33383,2021-10-10 12:16:00,0,0,0,0,0,0
75,1293959,33383,2021-10-10 12:17:00,0,0,0,0,0,0
76,1294003,33383,2021-10-10 12:18:00,0,0,4748,284,0,0
77,1294047,33383,2021-10-10 12:19:00,0,0,4508,270,0,0
78,1294091,33383,2021-10-10 12:20:00,0,0,0,0,0,0
79,1294135,33383,2021-10-10 12:21:00,0,0,0,0,0,0
80,1294179,33383,2021-10-10 12:22:00,0,0,0,0,0,0
81,1294223,33383,2021-10-10 12:23:00,0,0,0,0,0,0
82,1294267,33383,2021-10-10 12:24:00,0,0,0,0,0,0
83,1294311,33383,2021-10-10 12:25:00,0,0,0,0,0,0
84,1294355,33383,2021-10-10 12:26:00,0,0,0,0,0,0
85,1294399,33383,2021-10-10 12:27:00,0,0,0,0,0,0
86,1294443,33383,2021-10-10 12:28:00,0,0,0,0,0,0
87,1294487,33383,2021-10-10 12:29:00,0,0,0,0,0,0
88,1294531,33383,2021-10-10 12:30:00,0,0,0,0,0,0
89,1294575,33383,2021-10-10 12:31:00,0,0,0,0,0,0
90,1294619,33383,2021-10-10 12:32:00,0,0,0,0,0,0
91,1294663,33383,2021-10-10 12:33:00,2,2,0,0,0,0
92,1294707,33383,2021-10-10 12:34:00,0,0,0,0,0,0
93,1294751,33383,2021-10-10 12:35:00,0,0,0,0,0,0
94,1294795,33383,2021-10-10 12:36:00,0,0,0,0,0,0
95,1294839,33383,2021-10-10 12:37:00,0,0,0,0,0,0
96,1294883,33383,2021-10-10 12:38:00,0,0,0,0,0,0
97,1294927,33383,2021-10-10 12:39:00,0,0,0,0,0,0
98,1294971,33383,2021-10-10 12:40:00,0,0,0,0,0,0
99,1295015,33383,2021-10-10 12:41:00,0,0,0,0,0,0
100,1295059,33383,2021-10-10 12:42:00,0,0,0,0,0,0
101,1295103,33383,2021-10-10 12:43:00,0,0,0,0,0,0
102,1295147,33383,2021-10-10 12:44:00,0,0,0,0,0,0
103,1295191,33383,2021-10-10 12:45:00,0,0,0,0,0,0
104,1295235,33383,2021-10-10 12:46:00,0,0,0,0,0,0
105,1295279,33383,2021-10-10 12:47:00,0,0,0,0,0,0
106,1295323,33383,2021-10-10 12:48:00,0,0,0,0,0,0
107,1295367,33383,2021-10-10 12:49:00,0,0,0,0,0,0
108,1295411,33383,2021-10-10 12:50:00,0,0,0,0,0,0
109,1295455,33383,2021-10-10 12:51:00,0,0,0,0,0,0
110,1295499,33383,2021-10-10 12:52:00,0,0,0,0,0,0
111,1295543,33383,2021-10-10 12:53:00,0,0,0,0,0,0
112,1295587,33383,2021-10-10 12:54:00,0,0,0,0,0,0
113,1295631,33383,2021-10-10 12:55:00,0,0,0,0,0,0
114,1295675,33383,2021-10-10 12:56:00,0,0,0,0,0,0
115,1295719,33383,2021-10-10 12:57:00,0,0,0,0,0,0
116,1295763,33383,2021-10-10 12:58:00,0,0,0,0,0,0
117,1295807,33383,2021-10-10 12:59:00,0,0,0,0,0,0
118,1295851,33383,2021-10-10 13:00:00,0,0,0,0,0,0
119,1295895,33383,2021-10-10 13:01:00,0,0,0,0,0,0
120,1295939,33383,2021-10-10 13:02:00,0,0,0,0,0,0
121,1295983,33383,2021-10-10 13:03:00,0,0,0,0,0,0
122,1296027,33383,2021-10-10 13:04:00,0,0,0,0,0,0
123,1296071,33383,2021-10-10 13:05:00,0,0,0,0,0,0
124,1296115,33383,2021-10-10 13:06:00,0,0,0,0,0,0
125,1296159,33383,2021-10-10 13:07:00,0,0,0,0,0,0
126,1296203,33383,2021-10-10 13:08:00,0,0,0,0,0,0
127,1296247,33383,2021-10-10 13:09:00,0,0,0,0,0,0
128,1296291,33383,2021-10-10 13:10:00,0,0,0,0,0,0
129,1296335,33383,2021-10-10 13:11:00,0,0,0,0,0,0
130,1296379,33383,2021-10-10 13:12:00,0,0,0,0,0,0
131,1296423,33383,2021-10-10 13:13:00,0,0,0,0,895,53
132,1296467,33383,2021-10-10 13:14:00,0,0,0,0,11460,687
133,1296511,33383,2021-10-10 13:15:00,0,0,0,0,415,24
134,1296555,33383,2021-10-10 13:16:00,1312,1312,1955,117,0,0
135,1296599,33383,2021-10-10 13:17:00,4772,4772,7124,427,0,0
136,1296643,33383,2021-10-10 13:18:00,0,0,0,0,0,0
137,1296687,33383,2021-10-10 13:19:00,0,0,0,0,0,0
138,1296731,33383,2021-10-10 13:20:00,0,0,0,0,0,0
139,1296775,33383,2021-10-10 13:21:00,0,0,0,0,0,0
140,1296819,33383,2021-10-10 13:22:00,0,0,0,0,0,0
141,1296863,33383,2021-10-10 13:23:00,0,0,0,0,0,0
142,1296907,33383,2021-10-10 13:24:00,0,0,0,0,0,0
143,1296951,33383,2021-10-10 13:25:00,0,0,0,0,0,0
144,1296995,33383,2021-10-10 13:26:00,0,0,0,0,0,0
145,1297039,33383,2021-10-10 13:27:00,0,0,0,0,0,0
146,1297083,33383,2021-10-10 13:28:00,0,0,0,0,0,0
147,1297127,33383,2021-10-10 13:29:00,0,0,0,0,0,0
148,1297171,33383,2021-10-10 13:30:00,0,0,0,0,0,0
149,1297215,33383,2021-10-10 13:31:00,0,0,0,0,0,0
150,1297259,33383,2021-10-10 13:32:00,0,0,0,0,0,0
151,1297303,33383,2021-10-10 13:33:00,0,0,0,0,0,0
152,1297347,33383,2021-10-10 13:34:00,0,0,0,0,0,0
153,1297391,33383,2021-10-10 13:35:00,0,0,0,0,0,0
154,1297435,33383,2021-10-10 13:36:00,0,0,0,0,0,0
155,1297479,33383,2021-10-10 13:37:00,0,0,0,0,0,0
156,1297523,33383,2021-10-10 13:38:00,0,0,0,0,0,0
157,1297567,33383,2021-10-10 13:39:00,0,0,0,0,0,0
158,1297611,33383,2021-10-10 13:40:00,0,0,0,0,0,0
159,1297655,33383,2021-10-10 13:41:00,0,0,0,0,0,0
160,1297699,33383,2021-10-10 13:42:00,0,0,0,0,0,0
161,1297743,33383,2021-10-10 13:43:00,0,0,0,0,0,0
162,1297787,33383,2021-10-10 13:44:00,0,0,0,0,0,0
163,1297831,33383,2021-10-10 13:45:00,0,0,0,0,0,0
164,1297875,33383,2021-10-10 13:46:00,0,0,0,0,0,0
165,1297919,33383,2021-10-10 13:47:00,0,0,0,0,0,0
166,1297963,33383,2021-10-10 13:48:00,0,0,0,0,0,0
167,1298007,33383,2021-10-10 13:49:00,0,0,0,0,0,0
168,1298051,33383,2021-10-10 13:50:00,0,0,0,0,0,0
169,1298095,33383,2021-10-10 13:51:00,0,0,0,0,0,0
